StartDate,EndDate,Status,Progress,Duration (in seconds),Finished,RecordedDate,ResponseId,RecipientLastName,RecipientFirstName,RecipientEmail,ExternalReference,DistributionChannel,UserLanguage,consentY/N,attnCheckYoshi,attnCheckJamal,realisticThreatQ,filler1,filler2,filler3,filler4,filler5,filler6,filler7,filler8,filler9,filler10,attitude,emotion,STUDY_ID,SESSION_ID,Condition
12/5/22 16:35,12/5/22 16:39,0,100,240,1,12/5/22 16:39,R_1OALweQ2dahXpfT,,,,,anonymous,EN,1,,2,4,Mark walked to work,Sally baked a cake,Johnny saw a dog,Emma rode her bike,Will started taking notes,Mary fed her cat,Tyler listened to music,Josh drew a picture,Lauren did math homework,Rachel went to sleep,7,60,638e4b9126ef6a7b1b245296,638e80329bb8cf9fa5699c87,2
12/5/22 16:38,12/5/22 16:41,0,100,170,1,12/5/22 16:41,R_2EcWdJhF1f66LVd,,,,,anonymous,EN,1,,2,4,Mark walked to work,Sally baked a cake,Johnny saw a dog,Emma rode her bike,Will started taking notes,Mary fed her cat,Tyler listened to music,Josh drew a picture,Lauren did math homework,Rachel went to sleep,4,50,638e4b9126ef6a7b1b245296,638e80ffd90dba7a384d92c6,2
12/5/22 16:39,12/5/22 16:41,0,100,107,1,12/5/22 16:41,R_2tDb4LETiEoZRts,,,,,anonymous,EN,1,2,,6,Mark walked to work,Sally baked a cake ,Johnny saw a dog ,Emma rode her bike,Will started taking notes,Mary fed her cat,Tyler listened to music,Josh drew a picture,Lauren did math homework,Rachel went to sleep,7,85,638e4b9126ef6a7b1b245296,638e813fa1a1c629ff4cc8e2,1
12/5/22 16:37,12/5/22 16:42,0,100,281,1,12/5/22 16:42,R_sUaUCSAPdRrxIRP,,,,,anonymous,EN,1,2,,6,Mark walked to work,Sally baked a cake ,Johnny saw a dog,Emma rode her bike,Will started taking notes ,Mary fed her cat,Tyler listened to music,Josh drew a picture,Lauren did math homework,Rachel went to sleep,4,50,638e4b9126ef6a7b1b245296,638e80b7206bdaea6fc203e5,1
12/5/22 16:40,12/5/22 16:42,0,100,133,1,12/5/22 16:42,R_a67EOCUQGtpaa9b,,,,,anonymous,EN,1,,2,4,Mark walked to work,Sally baked a cake,Johnny saw a dog,Emma rode her bike,Will started taking notes,Mary fed her cat,Tyler listened to music,Josh drew a picture,Lauren did math homework ,Rachel went to sleep,4,70,638e4b9126ef6a7b1b245296,638e8154a89703168124528e,2
12/5/22 16:41,12/5/22 16:44,0,100,206,1,12/5/22 16:44,R_PIoy0cQDCrmB3Ud,,,,,anonymous,EN,1,2,,5,Mark walked to work,Sally baked a cake,Johnny saw a dog,Emma rode her bike,Will started taking notes,Mary fed her cat,Tyler listened to music,Josh drew a picture,Lauren did math homework,Rachel went to sleep,7,100,638e4b9126ef6a7b1b245296,638e819e65d5ececd2a92d79,1
12/5/22 16:43,12/5/22 16:45,0,100,128,1,12/5/22 16:45,R_2fldHmOoK1rXHd0,,,,,anonymous,EN,1,,3,6,mark walked to work,sally baked a cake,johnny saw a dog,emma rode her bike,will started taking notes,mary fed her cat,tyler listened to music,josh drew a picture,lauren did math homework,rachel went to sleep,7,85,638e4b9126ef6a7b1b245296,638e8213c9d65ff34bd9f8a6,2
12/5/22 16:43,12/5/22 16:46,0,100,142,1,12/5/22 16:46,R_4MipSHzCxsRS609,,,,,anonymous,EN,1,2,,6,Mark walked to work,Sally baked a cake,Jonny saw a dog,Emma rode her bike,Will started taking notes,Mary fed her cat,Tyler listened to music,Josh drew a picture,Lauren did math homework,Rachel went to sleep,6,85,638e4b9126ef6a7b1b245296,638e822d1cbdbc5dc54cc8a8,1
12/5/22 16:45,12/5/22 16:47,0,100,100,1,12/5/22 16:47,R_24iuLxGw9jaLjZW,,,,,anonymous,EN,1,2,,5,Mark walked to work,Sally baked a cake,Johnny saw a dog,Emma rode her bike,Will started taking notes,Mary fed her cat,Tyler listened to music,Josh drew a picture,Lauren did her math homework,Rachel went to sleep,6,70,638e4b9126ef6a7b1b245296,638e82aa65dd8717afaa3741,1
12/5/22 16:47,12/5/22 16:49,0,100,158,1,12/5/22 16:49,R_XNzjC4paaIJUn4t,,,,,anonymous,EN,1,2,,6,Mark walked to work,Sally baked a cake,Johnny saw a dog,Emma rode her bike,Will started taking notes,Mary fed her cat,Tyler listened to music,Josh drew a picture,Lauren did math homework,Rachel went to sleep,7,100,638e4b9126ef6a7b1b245296,638e830136abd28684382fa5,1
12/5/22 16:43,12/5/22 16:50,0,100,418,1,12/5/22 16:50,R_RQDSqle0dypeP2p,,,,,anonymous,EN,1,,2,4,Mark walked to work,Sally baked a cake,Johnny saw a dog,Emma rode her bike,Will started taking notes,Mary fed her cat,Tyler listened to music,Josh drew a picture,Lauren did math homework,Rachel went to sleep,6,70,638e4b9126ef6a7b1b245296,638e804a7b0c88a3d579ef6e,2
12/5/22 16:48,12/5/22 16:50,0,100,133,1,12/5/22 16:50,R_3p46gH7kU72NPZY,,,,,anonymous,EN,1,2,,5,Mark walked to workk,Sally baked a cake,Johnny saw a dog,Emma rode her bike,Will started taking notes,Mary fed her cat,Tyler listened to music,Josh drew a picture,Lauren did math homework,Rachel went to sleep,6,70,638e4b9126ef6a7b1b245296,638e83448e480b1dba097d51,1
12/5/22 16:49,12/5/22 16:52,0,100,186,1,12/5/22 16:52,R_3MljtbH9LzImeq1,,,,,anonymous,EN,1,,2,4,Mark walked to work,Sally baked a cake,Johnny saw a dog,Emma rode her bike,Will started taking notes,Mary fed her cat,Tyler listened to music,Josh drew a picture,Lauren did math homework,Rachel went to sleep,4,60,638e4b9126ef6a7b1b245296,638e836f7a4a7f8b29a92d97,2
12/5/22 16:47,12/5/22 16:52,0,100,290,1,12/5/22 16:52,R_27VUvEb4YMY23KO,,,,,anonymous,EN,1,,1,5,Mark walked to work,Sally baked a cake,Johnny saw a dog,Emma rode her bike,Will started taking notes,Mary fed her cat ,Tyler listened to music,Josh drew a picture,Lauren did math homework,Rachel went to sleep,7,85,638e4b9126ef6a7b1b245296,638e8314b1dd79b4a8f462d4,2
12/5/22 16:51,12/5/22 16:52,0,100,89,1,12/5/22 16:52,R_xAzQX7FGuJjN8EF,,,,,anonymous,EN,1,,2,6,Mark walked to work,Sally baked a cake,Johnny saw a dog,Emma rode her bike,Will started taking notes,Mary fed her cat,Tyler listened to music,Josh drew a picture,Lauren did math homework,Rachel went to sleep,7,100,638e4b9126ef6a7b1b245296,638e83decfa4f1218d262b41,2
12/5/22 16:50,12/5/22 16:52,0,100,122,1,12/5/22 16:52,R_3rHFABvNlvbcsZU,,,,,anonymous,EN,1,2,,6,Mark walked to work,Sally baked a cake,Johnny saw a dog,Emma rode her bike,Will started taking notes,Mary fed her cat,Tyler listened to music ,Josh drew a picture,Lauren did math homework,Rachel went to sleep,6,85,638e4b9126ef6a7b1b245296,638e83c553443bbfd04d92a5,1
12/5/22 16:53,12/5/22 16:55,0,100,111,1,12/5/22 16:55,R_2XgmdhKF1UWiyPC,,,,,anonymous,EN,1,2,,6,Mark walked to work,Sally baked a cake,Johnny saw a dog,Emma rode her bike,Will started taking notes,Mary fed her cat,Tyler listened to music,Josh drew a picture,Lauren did math homework,Rachel went to sleep,6,70,638e4b9126ef6a7b1b245296,638e8447254d833dbe79c779,1
12/5/22 16:53,12/5/22 16:56,0,100,142,1,12/5/22 16:56,R_1ILEQdyx6vbNbjJ,,,,,anonymous,EN,1,,2,4,Mark walked to work,Sally baked a cake,Johnny saw a dog,Emma rode her bike,Will started taking notes,Mary fed her cat,Tyler listened to music,Josh drew a picture,Lauren did math homework,Rachel went to sleep,4,60,638e4b9126ef6a7b1b245296,638e847fd8696ccf1271cbd5,2
12/5/22 16:54,12/5/22 16:57,0,100,151,1,12/5/22 16:57,R_01EKNGkszHbbdaF,,,,,anonymous,EN,1,2,,6,Mark walked to work,Sally baked a cake,Johnny saw a dog,Emma rode her bike,Will started taking notes,Mary fed her cat,Tyler listened to music,Josh drew a picture,Lauren did math homework,Rachel went to sleep,6,85,638e4b9126ef6a7b1b245296,638e84bf937ccc9bbfecb589,1
12/5/22 16:56,12/5/22 16:58,0,100,136,1,12/5/22 16:58,R_5jcnVnkOQV0cDi9,,,,,anonymous,EN,1,,2,2,Mark walked to work,Sally baked a cake.,Johnny saw a dog,Emma rode her bike,Will started taking notes,Mary fed her cat,Tyler listened to music,Josh drew a picture,Lauren did math homework,Rachel went to sleep,3,50,638e4b9126ef6a7b1b245296,638e851dd9486f7ed51e7448,2
12/5/22 16:56,12/5/22 16:59,0,100,182,1,12/5/22 16:59,R_2bZ5eUTmVPooOmZ,,,,,anonymous,EN,1,2,,5,Mark walked to work,Sally baked a cake,Johnny saw a dog,Emma rode her bike,Will started taking notes,Mary fed her cat,Tyler listened to music,Josh drew a picture,Lauren did math homework,Rachel went to sleep,4,50,638e4b9126ef6a7b1b245296,638e851011eb4be8d22778b4,1
12/5/22 17:27,12/5/22 17:28,0,100,102,1,12/5/22 17:29,R_1dfNgu4sEvYn44I,,,,,anonymous,EN,1,,2,4,Mark walked to work,Sally baked a cake,Johnny saw a dog,Emma rode her bike,Will started taking notes,Mary fed her cat,Tyler listened to music,Josh drew a picture,Lauren did math homework,Rachel went to sleep,7,100,638e4b9126ef6a7b1b245296,638e8c5d05b192dcc371cc05,2
